sensor,file_name,stripe_count,area_ratio,aspect_ratio,curvature,mean_snr,mean_contrast,norm_spacing
SAR,136.png,1,0.00039544616057255767,9.619984532375211,0.10303334168964652,0.4450413147469705,0.05907805708152525,0.0
SAR,s1a-iw-grd-vv-20180421t114323-20180421t114348-021565-0252a1-001.png,8,0.039933267011267315,1.1050046894666683,0.046417343319489594,1.303960361251542,0.21315238363674716,0.011792506478480354
SAR,s1a-iw-grd-vv-20180421t114323-20180421t114348-021565-0252a1-001.png,13,0.15880157974948794,6.118773163645655,0.0851354004383192,0.9331899240260157,0.1411387326856694,0.016199350721869604
SAR,s1a-iw-grd-vv-20180421t114323-20180421t114348-021565-0252a1-001.png,1,0.00032160325776856014,25.45750732040355,0.0384391380314502,1.2182605201808392,0.1826511560018996,0.0
SAR,s1a-iw-grd-vv-20180421t114323-20180421t114348-021565-0252a1-001.png,7,0.04910013877928332,5.185245633684101,0.021561974115379696,0.9518974098852141,0.14845368960225708,0.01589090474002642
SAR,s1a-iw-grd-vv-20180421t114323-20180421t114348-021565-0252a1-001.png,2,0.002539365480760891,4.818495165866234,0.05946459965580744,0.7809166497323528,0.12939912314458857,0.012568450014749356
SAR,s1a-iw-grd-vv-20200111t231116-20200111t231141-030759-0386f9-001.png,12,0.22099343093333523,3.2354693587867893,0.03691981886569586,0.8393126482029638,0.11207488378816423,0.014891024428644766
SAR,306.png,16,0.3165375817985421,3.774966622252362,0.04981531099730426,0.6026229683256337,0.07232100480268407,0.021263873039772743
SAR,306.png,8,0.04649307249746926,4.0607833538453875,0.07163985675735744,0.7039872070908295,0.08540495138058783,0.011609310212671446
SAR,306.png,1,0.0008398214259320025,34.76736739337133,0.025214749975503804,0.5251531279697995,0.06413698726824509,0.0
SAR,306.png,18,0.11631290251261994,2.9464578182336867,0.0447530387897797,0.5280386727141512,0.06423218628630131,0.014016410926401037
SAR,525.png,2,0.010429822955676848,4.581062643378981,0.054150621374397745,0.20929615262394338,0.05273974763182467,0.04381621396049958
SAR,525.png,9,0.22993318297969267,6.443700448907613,0.04071818076994809,0.2917664423535759,0.06046556834262521,0.04400156393377898
SAR,525.png,1,0.00025751582279045365,38.4213253281782,0.020624518118735544,0.3007335586608491,0.07099091960063533,0.0
SAR,525.png,1,0.00016170136061222432,29.256824112819068,0.03325942350332594,0.0829173530654133,0.01728305102717843,0.0
SAR,300.png,7,0.10162015719533457,2.1070522356803765,0.05244100777554551,0.2284737710370431,0.029076032368364427,0.02922710269430705
SAR,300.png,1,0.00032016437893088966,22.54872353177241,0.04412153236459709,0.036452828795669405,0.004773746698014025,0.0
SAR,300.png,1,0.00025588755866232105,21.50400371122929,0.040381282495667255,0.2897959440328399,0.03532152332743708,0.0
SAR,546.png,2,0.08676178107285004,18.32750043534513,0.04720827039610716,0.36352228736744235,0.045918624814387646,0.45079313986227615
SAR,546.png,9,0.3716977495865734,3.9120906780745557,0.0530630345876387,0.3146845476775143,0.03804442304424332,0.038082418994019526
SAR,546.png,1,0.0002450985468741441,22.048523904531418,0.0374029640084686,0.29035576747571984,0.033811393222544034,0.0
SAR,546.png,1,0.0002533153968986568,23.509442649142553,0.038430744595676546,0.09494241086182674,0.011329832460238177,0.0
SAR,546.png,1,0.00011157988685932263,25.999877884961112,0.03350854139290407,0.43249140677287873,0.05502279388230597,0.0
SAR,546.png,4,0.02810051848414652,3.159024729189349,0.04002866923198726,0.24048790996443936,0.02775549477464389,0.04112251809035329
SAR,s1a-iw-grd-vv-20160123t215627-20160123t215641-009627-00e063-001.png,9,0.11606068823448368,4.432557166157541,0.02439238560187134,0.48196843412083534,0.042841655420696075,0.015071426426028533
SAR,s1a-iw-grd-vv-20160123t215627-20160123t215641-009627-00e063-001.png,2,0.015070859036552697,11.947002890432433,0.023093171892006256,0.21615916071543223,0.031382445127088085,0.09691044334851348
SAR,423.png,8,0.15927924271520766,3.6821516573893645,0.10228339041246359,0.7219450595072542,0.11419598610355167,0.017631695236916635
SAR,423.png,2,0.027194821083766474,5.176787131996589,0.21403844486689944,0.731348922049665,0.13557265962677587,0.1436503071353229
SAR,80.png,5,0.17350432221016376,5.8924758456369775,0.03564873758508411,0.6759315579702674,0.08237908490221475,0.049715301351728886
SAR,80.png,21,0.29312063793136645,2.344047823600249,0.04764275398014101,0.6583417309564121,0.08040797641969434,0.014859541015732601
SAR,80.png,1,0.00015279409552041573,35.07675455747722,0.022775800711743767,0.3301193021635268,0.04047486821892729,0.0
SAR,80.png,1,0.00022416653737405978,19.72347242173612,0.044209618287686,0.6681563162997477,0.08047784658672334,0.0
SAR,80.png,3,0.016053432497443287,6.519330570632878,0.0391215573936305,0.5866168282647268,0.07241187278235652,0.021014278527342296
SAR,80.png,1,0.00041853958022697313,18.871077648558867,0.04962569427674476,0.7505366118596569,0.09812818695397714,0.0
